City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,dryden,49.7833,-92.7503,20.16,37,0,5.14,CA,1688858966
192,west island,-12.1568,96.8225,24.99,83,40,5.66,CC,1688858967
193,kolonia,50.9333,6.95,24.9,64,0,2.06,DE,1688858835
194,rio bueno,-40.3167,-72.9667,8.08,95,77,1.85,CL,1688858968
195,san antonio de pale,-1.4014,5.6325,23.44,85,100,4.55,GQ,1688858969
196,broome,42.2506,-75.833,27.42,66,20,0.89,US,1688858970
197,mek'ele,13.4967,39.4753,18.41,75,91,2.97,ET,1688858970
198,east london,-33.0153,27.9116,13.17,63,8,9.35,ZA,1688858941
199,neiafu,-18.65,-173.9833,26.38,83,20,2.57,TO,1688858971
200,burkburnett,34.0979,-98.5706,35.5,49,20,2.57,US,1688858972
201,khomeyni shahr,32.7002,51.5211,23.57,17,2,2.24,IR,1688858973
202,banda aceh,5.5577,95.3222,25.96,80,98,4.06,ID,1688858974
203,reyes,-14.3167,-67.3833,25.69,63,24,1.04,BO,1688858974
204,mount isa,-20.7333,139.5,13.87,41,3,5.14,AU,1688858975
205,hermanus,-34.4187,19.2345,8.22,71,67,6.72,ZA,1688858976
206,alice springs,-23.7,133.8833,6.75,87,97,2.82,AU,1688858976
207,carnarvon,-24.8667,113.6333,14.29,51,0,6.07,AU,1688858977
208,bilibino,68.0546,166.4372,22.75,32,54,5.51,RU,1688858977
209,sarangani,5.4033,125.4636,28.17,77,76,6.34,PH,1688858978
210,port-cartier,50.0334,-66.8654,19.3,82,86,1.83,CA,1688858979
211,malango,-2.9627,119.9001,19.3,89,25,0.47,ID,1688858980
212,ulladulla,-35.35,150.4667,13.66,55,0,6.39,AU,1688858980
213,estreito,-5.7833,-43.25,24.45,75,100,1.47,BR,1688858981
214,waingapu,-9.6567,120.2641,24.12,85,2,4.07,ID,1688858982
215,lazaro cardenas,17.9583,-102.2,29.69,70,18,5.91,MX,1688858982
216,bandraboua,-12.7044,45.1223,21.82,76,79,2.03,YT,1688858983
217,iskateley,67.6803,53.1512,5.0,79,100,4.59,RU,1688858984
218,mersa matruh,31.3525,27.2453,25.11,83,0,3.09,EG,1688858984
219,pathein,16.7833,94.7333,25.95,88,100,2.07,MM,1688858985
220,vila velha,-20.3297,-40.2925,23.97,82,0,3.6,BR,1688858865
221,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,72,75,2.0,RU,1688858986
222,sola,-13.8833,167.55,25.87,84,99,9.46,VU,1688858986
223,mirriah,13.7073,9.1501,33.04,34,87,2.97,NE,1688858987
224,zhanaozen,43.3,52.8,29.72,19,6,7.2,KZ,1688858988
225,kailua-kona,19.6406,-155.9956,28.98,77,75,5.66,US,1688858969
226,smithers,54.7804,-127.1743,32.18,22,75,2.57,CA,1688858989
227,hasaki,35.7333,140.8333,28.45,89,100,6.83,JP,1688858989
228,coahuayana de hidalgo,18.7,-103.6583,26.09,87,99,1.39,MX,1688858990
229,zimmerman,45.4433,-93.59,26.48,39,40,4.12,US,1688858990
230,eyl,7.9803,49.8164,25.82,65,51,11.64,SO,1688858991
231,nova vicosa,-17.8919,-39.3719,22.8,83,59,4.99,BR,1688858991
232,richards bay,-28.783,32.0377,20.03,82,10,7.9,ZA,1688858992
233,mawu,29.5923,107.3139,24.12,93,64,1.27,CN,1688858992
234,atherton,53.5237,-2.4935,18.49,96,100,0.45,GB,1688858993
235,uyuni,-20.4597,-66.825,5.84,16,12,3.83,BO,1688858993
236,gillette,44.2911,-105.5022,23.39,49,40,4.63,US,1688858757
237,bardai,11.65,7.2333,24.05,78,100,4.11,NG,1688858995
238,douentza,14.9951,-2.9517,33.64,38,63,6.62,ML,1688858995
239,suicheng,33.8963,117.9331,28.41,81,35,5.4,CN,1688858996
240,bereznik,62.8551,42.7072,10.29,98,100,2.9,RU,1688858997
241,thohoyandou,-22.9456,30.485,14.96,49,0,2.2,ZA,1688858997
242,gadzhiyevo,69.2551,33.3362,6.05,75,100,4.8,RU,1688858998
243,klaksvik,62.2266,-6.589,14.51,94,84,5.03,FO,1688858840
244,ust-tsilma,65.441,52.1498,9.44,90,100,1.83,RU,1688858999
245,dalnegorsk,44.5604,135.5701,26.47,60,87,0.86,RU,1688858999
246,shuangyang,43.5242,125.6736,21.69,80,41,3.06,CN,1688859000
247,saint-georges,12.0564,-61.7485,25.82,89,75,7.72,GD,1688858443
248,qamdo,31.1667,97.2333,9.44,74,100,0.16,CN,1688859001
249,kapenguria,1.2511,35.0895,11.48,88,45,2.44,KE,1688859002
250,kapa'a,22.0752,-159.319,29.18,68,40,8.75,US,1688859004
251,vandalia,39.8906,-84.1988,24.62,79,100,3.09,US,1688858867
252,villa gesell,-37.2639,-56.973,9.47,65,97,4.9,AR,1688859007
253,kone,-21.0595,164.8658,24.54,61,63,2.55,NC,1688859008
254,papatowai,-46.5619,169.4708,9.28,81,100,0.83,NZ,1688859008
255,tondano,1.3038,124.9112,21.05,71,95,1.16,ID,1688859009
256,ahmadpur east,29.1431,71.2598,31.08,63,53,4.33,PK,1688859009
257,kalmunai,7.4167,81.8167,26.17,81,94,2.03,LK,1688859010
258,tomatlan,19.9333,-105.25,30.55,52,95,3.89,MX,1688859011
259,toshloq,40.4772,71.7678,20.69,49,19,2.06,UZ,1688859011
260,papao,-17.75,-149.55,28.82,82,97,9.05,PF,1688859013
261,nalut,30.3333,10.85,30.35,18,0,4.35,LY,1688859013
262,st. john's,47.5649,-52.7093,18.66,94,40,1.54,CA,1688858779
263,ak-dovurak,51.1833,90.6,17.53,61,31,0.63,RU,1688859014
264,sparti,37.0733,22.4297,24.97,72,0,1.08,GR,1688859015
265,samana,19.2056,-69.3369,27.98,87,27,3.72,DO,1688859016
266,satuba,-9.5633,-35.8244,23.45,94,100,2.06,BR,1688858822
267,todos santos,23.45,-110.2167,29.13,50,23,2.48,MX,1688859017
268,huarmey,-10.0681,-78.1522,20.79,79,0,5.01,PE,1688859018
269,aban,56.67,96.06,18.53,92,98,2.03,RU,1688859018
270,lerwick,60.1545,-1.1494,16.0,87,41,4.3,GB,1688859019
271,port augusta,-32.5,137.7667,14.84,60,98,4.27,AU,1688859019
272,whitehorse,60.7161,-135.0538,30.05,18,20,6.71,CA,1688858907
273,atafu village,-8.5421,-172.5159,28.75,76,14,8.68,TK,1688859021
274,codrington,-38.2667,141.9667,13.49,79,28,8.14,AU,1688859021
275,arenapolis,-14.4503,-56.8461,23.79,43,1,1.69,BR,1688859023
276,rikaze,29.25,88.8833,16.45,44,94,1.55,CN,1688859023
277,cooper's town,26.8667,-77.5167,29.53,74,85,7.62,BS,1688859024
278,happy valley-goose bay,53.3168,-60.3315,22.17,88,100,1.03,CA,1688858935
279,rabaul,-4.1967,152.1721,27.76,76,97,3.48,PG,1688859025
280,polyarnyy,69.1989,33.4478,6.28,75,98,4.75,RU,1688859000
281,douglas,41.3,-96.167,25.38,53,0,1.54,US,1688859025
282,tanout,14.9709,8.8879,32.56,35,82,3.47,NE,1688859027
283,tazovsky,67.4667,78.7,9.9,82,37,4.12,RU,1688859028
284,tofol,5.3248,163.0078,28.5,77,100,4.99,FM,1688859028
285,taoudenni,22.6783,-3.9836,40.92,11,0,3.38,ML,1688858838
286,tsengel,49.4783,100.8894,14.41,96,100,0.51,MN,1688859030
287,selfoss,63.9331,-20.9971,13.91,73,45,1.43,IS,1688859030
288,saint-philippe,-21.3585,55.7679,19.77,73,51,4.22,RE,1688859031
289,cabo san lucas,22.8909,-109.9124,32.61,70,75,5.14,MX,1688858836
290,bloomsburg,41.0037,-76.4549,29.52,64,99,0.54,US,1688859032
291,serdar,38.9764,56.2757,29.03,17,0,5.88,TM,1688859033
292,san luis de la loma,17.2706,-100.8939,30.44,67,43,4.52,MX,1688858917
293,christies beach,-35.1396,138.4698,13.47,88,47,3.13,AU,1688859034
294,sterling,39.0062,-77.4286,29.65,74,75,2.24,US,1688859035
295,beau vallon,-20.4189,57.6953,23.13,78,75,6.69,MU,1688859035
296,pierre,44.3683,-100.351,27.38,31,0,3.09,US,1688859036
297,santa ana,33.7456,-117.8678,33.0,61,20,5.66,US,1688858946
298,island harbour,50.724,-1.2758,17.74,93,99,1.34,GB,1688859037
299,mahina,-17.5065,-149.489,28.87,65,75,4.63,PF,1688859037
300,tambura,5.6,27.4667,18.87,95,24,0.51,SS,1688859038
301,mangrol,21.1167,70.1167,27.45,86,83,6.25,IN,1688859039
302,arkadelphia,34.1209,-93.0538,29.54,74,20,3.6,US,1688859039
303,poronaysk,49.2167,143.1167,20.15,74,1,2.5,RU,1688858870
